name,slug,source,page,type,type_code,rarity,tier,attunement,attunement_req,wondrous,weight,value_gp,has_spells,entries_json,srd
+1 Wand of the War Mage,1-wand-of-the-war-mage,XDMG,322,Wand,WD,uncommon,,1,by a spellcaster,0,1,,0,"[""While holding this wand, you gain a +1 bonus to spell attack rolls. In addition, you ignore {@variantrule Cover|XPHB|Half Cover} when making a spell attack roll.""]",1
+2 Wand of the War Mage,2-wand-of-the-war-mage,XDMG,322,Wand,WD,rare,,1,by a spellcaster,0,1,,0,"[""While holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you ignore {@variantrule Cover|XPHB|Half Cover} when making a spell attack roll.""]",1
+3 Wand of the War Mage,3-wand-of-the-war-mage,XDMG,322,Wand,WD,very rare,,1,by a spellcaster,0,1,,0,"[""While holding this wand, you gain a +3 bonus to spell attack rolls. In addition, you ignore {@variantrule Cover|XPHB|Half Cover} when making a spell attack roll.""]",1
Acid,acid,XPHB,222,Adventuring Gear,G,none,,0,,0,1,25.0,0,"[""When you take the {@action Attack|XPHB} action, you can replace one of your attacks with throwing a vial of Acid. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw ({@dc 8} plus your Dexterity modifier and {@variantrule Proficiency|XPHB|Proficiency Bonus}) or take {@damage 2d6} Acid damage.""]",1
Alchemist's Fire,alchemist-s-fire,XPHB,222,Adventuring Gear,G,none,,0,,0,1,50.0,0,"[""When you take the {@action Attack|XPHB} action, you can replace one of your attacks with throwing a flask of Alchemist's Fire. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw ({@dc 8} plus your Dexterity modifier and {@variantrule Proficiency|XPHB|Proficiency Bonus}) or take {@damage 1d4} Fire damage and start {@hazard burning|XPHB}.""]",1
Ale (mug),ale-mug,XPHB,231,Food and Drink,FD,none,,0,,0,,0.04,0,[],1
Amulet,amulet,XPHB,226,Spellcasting Focus,SCF,none,,0,,0,1,5.0,0,"[""For an Amulet to be an effective Holy Symbol, it must be worn or held.""]",1
Amulet of Health,amulet-of-health,XDMG,228,Wondrous Item,WON,rare,,1,,1,1,,0,"[""Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution is already 19 or higher without it.""]",1
Amulet of Proof against Detection and Location,amulet-of-proof-against-detection-and-location,XDMG,228,Wondrous Item,WON,uncommon,,1,,1,1,,0,"[""While wearing this amulet, you can't be targeted by Divination spells or perceived through magical scrying sensors unless you allow it.""]",1
Amulet of the Planes,amulet-of-the-planes,XDMG,150,Wondrous Item,WON,very rare,,1,,1,1,,1,"[""While wearing this amulet, you can take a {@action Magic|XPHB} action to name a location that you are familiar with on another plane of existence. Then make a {@dc 15} Intelligence ({@skill Arcana|XPHB}) check. On a successful check, you cast {@spell Plane Shift|XPHB}. On a failed check, you and each creature and object within 15 feet of you travel to a random destination determined by rolling {@dice 1d100} and consulting the following table."", {""type"": ""table"", ""colStyles"": [""col-2 text-center"", ""col-10""], ""colLabels"": [""1d100"", ""Destination""], ""rows"": [[""01-60"", ""Random location on the plane you named""], [""61-70"", ""Random location on an Inner Plane determined by rolling {@dice 1d6}: on a {@b 1}, the Plane of Air; on a {@b 2}, the Plane of Earth; on a {@b 3}, the Plane of Fire; on a {@b 4}, the Plane of Water; on a {@b 5}, the Feywild; on a {@b 6}, the Shadowfell""], [""71-80"", ""Random location on an Outer Plane determined by rolling 1d8: on a {@b 1}, Arborea; on a {@b 2}, Arcadia; on a {@b 3}, the Beastlands; on a {@b 4}, Bytopia; on a {@b 5}, Elysium; on a {@b 6}, Mechanus; on a {@b 7}, Mount Celestia; on an {@b 8}, Ysgard""], [""81-90"", ""Random location on an Outer Plane determined by rolling {@dice 1d8}: on a {@b 1}, the Abyss; on a {@b 2}, Acheron; on a {@b 3}, Carceri; on a {@b 4}, Gehenna; on a {@b 5}, Hades; on a {@b 6}, Limbo; on a {@b 7}, the Nine Hells; on an {@b 8}, Pandemonium""], [""91-00"", ""Random location on the Astral Plane""]]}]",1
Animated Shield,animated-shield,XDMG,229,Shield,S,very rare,,1,,0,6,,0,"[""While holding this Shield, you can take a {@variantrule Bonus Action|XPHB} to cause it to animate. The Shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The Shield remains animate for 1 minute, until you take a {@variantrule Bonus Action|XPHB} to end this effect, or until you die or have the {@condition Incapacitated|XPHB} condition, at which point the Shield falls to the ground or into your hand if you have one free.""]",1
Antitoxin,antitoxin,XPHB,222,Adventuring Gear,G,none,,0,,0,,50.0,0,"[""As a {@variantrule Bonus Action|XPHB}, you can drink a vial of Antitoxin to gain {@variantrule Advantage|XPHB} on saving throws to avoid or end the {@condition Poisoned|XPHB} condition for 1 hour.""]",1
Apparatus of Kwalish,apparatus-of-kwalish,XDMG,229,Wondrous Item,WON,legendary,,0,,1,500,,0,"[""This item first appears to be a sealed iron barrel weighing 500 pounds. The barrel has a hidden catch, which can be found with a successful {@dc 20} Intelligence ({@skill Investigation|XPHB}) check. Releasing the catch unlocks a hatch at one end of the barrel, allowing two Medium or smaller creatures to crawl inside. Ten levers are set in a row at the far end, each in a neutral position, able to move up or down. When certain levers are used, the apparatus transforms to resemble a giant lobster."", ""The Apparatus of Kwalish is a Large object with the following statistics: {@b AC} 20; {@b HP} 200; {@b Speed} 30 ft., Swim 30 ft. (or 0 ft. for both if the legs aren't extended); {@b Immunity} to Poison and Psychic damage."", ""To be used as a vehicle, the apparatus requires one pilot. While the apparatus's hatch is closed, the compartment is airtight and watertight. The compartment holds enough air for 10 hours of breathing, divided by the number of breathing creatures inside."", ""The apparatus floats on water. It can also go underwater to a depth of 900 feet. Below that, the vehicle takes {@damage 2d6} Bludgeoning damage each minute from pressure."", ""A creature in the compartment can take a {@action Utilize|XPHB} action to move as many as two of the apparatus's levers up or down. After each use, a lever goes back to its neutral position. Each lever, from left to right, functions as shown in the Apparatus of Kwalish Levers table."", {""type"": ""table"", ""caption"": ""Apparatus of Kwalish Levers"", ""colStyles"": [""col-1 text-center"", ""col-5-5"", ""col-5-5""], ""colLabels"": [""Lever"", ""Up"", ""Down""], ""rows"": [[""1"", ""Legs extend, allowing the apparatus to walk and swim."", ""Legs retract, reducing the apparatus's {@variantrule Speed|XPHB} and {@variantrule Swim Speed|XPHB} to 0 and making it unable to benefit from bonuses to speed.""], [""2"", ""Forward window shutter opens."", ""Forward window shutter closes.""], [""3"", ""Side window shutters open (two per side)."", ""Side window shutters close (two per side).""], [""4"", ""Two claws extend from the front side of the apparatus."", ""The claws retract.""], [""5"", ""Each extended claw makes the following melee attack: {@hit 8} to hit, reach 5 ft. {@i Hit:} 7 ({@damage 2d6}) Bludgeoning damage."", ""Each extended claw makes the following melee attack: {@hit 8} to hit, reach 5 ft. {@i Hit:} The target has the {@condition Grappled|XPHB} condition (escape {@dc 15}).""], [""6"", ""The apparatus walks or swims forward provided its legs are extended."", ""The apparatus walks or swims backward provided its legs are extended.""], [""7"", ""The apparatus turns 90 degrees counterclockwise provided its legs are extended."", ""The apparatus turns 90 degrees clockwise provided its legs are extended.""], [""8"", ""Eyelike fixtures emit {@variantrule Bright Light|XPHB} in a 30-foot radius and {@variantrule Dim Light|XPHB} for an additional 30 feet."", ""The light turns off.""], [""9"", ""The apparatus sinks up to 20 feet if it's in liquid."", ""The apparatus rises up to 20 feet if it's in liquid.""], [""10"", ""The rear hatch unseals and opens."", ""The rear hatch closes and seals.""]]}]",1
Armor of Invulnerability,armor-of-invulnerability,XDMG,152,Heavy Armor,HA,legendary,,1,,0,65,,0,"[""You have {@variantrule Resistance|XPHB} to Bludgeoning, Piercing, and Slashing damage while you wear this armor."", {""type"": ""entries"", ""name"": ""Metal Shell"", ""entries"": [""You can take a {@action Magic|XPHB} action to give yourself {@variantrule Immunity|XPHB} to Bludgeoning, Piercing, and Slashing damage for 10 minutes or until you are no longer wearing the armor. Once this property is used, it can't be used again until the next dawn.""]}]",1
Arrow-Catching Shield,arrow-catching-shield,XDMG,231,Shield,S,rare,,1,,0,6,,0,"[""You gain a +2 bonus to {@variantrule Armor Class|XPHB} against ranged attack rolls while you wield this Shield. This bonus is in addition to the Shield's normal bonus to AC."", ""Whenever an attacker makes a ranged attack roll against a target within 5 feet of you, you can take a {@variantrule Reaction|XPHB} to become the target of the attack instead.""]",1
Assassin's Blood,assassin-s-blood,XDMG,90,Adventuring Gear,G,none,,0,,0,,150.0,0,"[""A creature subjected to Assassin's Blood makes a {@dc 10} Constitution saving throw. On a failed save, the creature takes 6 ({@damage 1d12}) Poison damage and has the {@condition Poisoned|XPHB} condition for 24 hours. On a successful save, the creature takes half as much damage only.""]",1
Backpack,backpack,XPHB,224,Adventuring Gear,G,none,,0,,0,5,2.0,0,"[""A Backpack holds up to 30 pounds within 1 cubic foot. It can also serve as a saddlebag.""]",1
Bag of Beans,bag-of-beans,XDMG,233,Wondrous Item,WON,rare,,0,,1,,,0,"[""This heavy cloth bag contains {@dice 3d4} dry beans when found. The bag weighs half a pound regardless of how many beans it contains and becomes a nonmagical item when it no longer contains any beans."", ""If you dump one or more beans out of the bag, they explode in a 10-foot-radius {@variantrule Sphere [Area of Effect]|XPHB|Sphere} centered on them. All the dumped beans are destroyed in the explosion, and each creature in the {@variantrule Sphere [Area of Effect]|XPHB|Sphere}, including you, makes a {@dc 15} Dexterity saving throw, taking {@damage 5d4} Force damage on a failed save or half as much damage on a successful one."", ""If you remove a bean from the bag, plant it in dirt or sand, and then water it, the bean disappears as it produces an effect 1 minute later from the ground where it was planted. The DM can choose an effect from the following table or determine it randomly."", {""type"": ""table"", ""colStyles"": [""col-2 text-center"", ""col-10""], ""colLabels"": [""1d100"", ""Effect""], ""rows"": [[""01"", ""{@dice 5d4} toadstools sprout. If a creature eats a toadstool, roll any die. On an odd roll, the eater must succeed on a {@dc 15} Constitution saving throw or take {@damage 5d6} Poison damage and have the {@condition Poisoned|XPHB} condition for 1 hour. On an even roll, the eater gains {@dice 5d6} {@variantrule Temporary Hit Points|XPHB} for 1 hour.""], [""02-10"", ""A geyser erupts and spouts water, beer, mayonnaise, tea, vinegar, wine, or oil (DM's choice) 30 feet into the air for {@dice 1d4} minutes.""], [""11-20"", ""A {@creature Treant|XMM} sprouts. Roll any die. On an odd roll, the treant is Chaotic Evil. On an even roll, the treant is Chaotic Good.""], [""21-30"", ""An animate but immobile stone statue in your likeness rises and makes verbal threats against you. If you leave it and others come near, it describes you as the most heinous of villains and directs the newcomers to find and attack you. If you are on the same plane of existence as the statue, it knows where you are. The statue becomes inanimate after 24 hours.""], [""31-40"", ""A campfire with green flames springs forth and burns for 24 hours or until it is extinguished.""], [""41-50"", ""Three {@b Shrieker Fungi} sprout.""], [""51-60"", ""{@dice 1d4 + 4} bright-pink toads crawl forth. Whenever a toad is touched, it transforms into a Large or smaller monster of the DM's choice that acts in accordance with its alignment and nature. The monster remains for 1 minute, then disappears in a puff of bright-pink smoke.""], [""61-70"", ""A hungry {@creature Bulette|XMM} burrows up and attacks.""], [""71-80"", ""A fruit tree grows. It has {@dice 1d10 + 20} fruit, {@dice 1d8} of which act as randomly determined potions. The tree vanishes after 1 hour. Picked fruit remains, retaining any magic for 30 days.""], [""81-90"", ""A nest of {@dice 1d4 + 3} rainbow-colored eggs springs up. Any creature that eats an egg makes a {@dc 20} Constitution saving throw. On a successful save, a creature permanently increases its lowest ability score by 1, randomly choosing among equally low scores. On a failed save, the creature takes {@damage 10d6} Force damage from an internal explosion.""], [""91-95"", ""A pyramid with a 60-foot-square base bursts upward. Inside is a burial chamber containing a {@creature Mummy|XMM}, a {@creature Mummy Lord|XMM}, or some other Undead of the DM's choice. Its sarcophagus contains treasure of the DM's choice.""], [""96-00"", ""A giant beanstalk sprouts, growing to a height of the DM's choice. The top leads where the DM chooses, such as to a great view, a cloud giant's castle, or another plane of existence.""]]}]",1
Bag of Devouring,bag-of-devouring,XDMG,234,Wondrous Item,WON,very rare,,0,,1,,,0,"[""This bag resembles a {@item Bag of Holding|XDMG} but is a feeding orifice for a gigantic extradimensional creature. Turning the bag inside out closes the orifice."", ""The extradimensional creature attached to the bag can sense whatever is placed inside the bag. Animal or vegetable matter placed wholly in the bag is devoured and lost forever. When part of a living creature is placed in the bag, as happens when someone reaches inside it, there is a {@chance 50} chance that the creature is pulled inside the bag. A creature inside the bag can take an action to try to escape, doing so with a successful {@dc 15} Strength ({@skill Athletics|XPHB}) check. Another creature can take an action to reach into the bag to pull a creature out, doing so with a successful {@dc 20} Strength ({@skill Athletics|XPHB}) check, provided the puller isn't pulled inside the bag first. Any creature that starts its turn inside the bag is devoured, its body destroyed."", ""Inanimate objects can be stored in the bag, which can hold a cubic foot of such material. However, once each day, the bag swallows any objects inside it and spits them out into another plane of existence. The DM determines the time and plane."", ""If the bag is pierced or torn, it is destroyed, and anything contained within it is transported to a random location on the Astral Plane.""]",1
Bag of Holding,bag-of-holding,XDMG,234,Wondrous Item,WON,uncommon,,0,,1,5,,0,"[""This bag has an interior space considerably larger than its outside dimensions\u2014roughly 2 feet square and 4 feet deep on the inside. The bag can hold up to 500 pounds, not exceeding a volume of 64 cubic feet. The bag weighs 5 pounds, regardless of its contents. Retrieving an item from the bag requires a {@action Utilize|XPHB} action."", ""If the bag is overloaded, pierced, or torn, it is destroyed, and its contents are scattered in the Astral Plane. If the bag is turned inside out, its contents spill forth unharmed, but the bag must be put right before it can be used again. The bag holds enough air for 10 minutes of breathing, divided by the number of breathing creatures inside."", ""Placing a Bag of Holding inside an extradimensional space created by a {@item Heward's Handy Haversack|XDMG}, Portable Hole, or similar item instantly destroys both items and opens a gate to the Astral Plane. The gate originates where the one item was placed inside the other. Any creature within a 10-foot-radius {@variantrule Sphere [Area of Effect]|XPHB|Sphere} centered on the gate is sucked through it to a random location on the Astral Plane. The gate then closes. The gate is one-way and can't be reopened.""]",1
